,user_msg,api_call,example
https://api.speak.com,How do I say 'Where is the nearest pharmacy?' in Italian?,"<API>speak.translate({'phrase_to_translate': 'Where is the nearest pharmacy?', 'learning_language': 'Italian', 'native_language': 'English', 'additional_context': '', 'full_query': 'How do I say \""Where is the nearest pharmacy?\"" in Italian?'})</API>",
https://wolframcloud.com,What is the integral of x * cos^3(x)?,<API>WolframAlpha.getShortAnswer({'i': 'integral of x * cos^3(x)'})</API>,
https://wolframalpha.com,What is the distance between Earth and Mars?,<API>Wolfram.getWolframAlphaResults({'input': 'distance between Earth and Mars'})</API>,
https://klarna.com,Find me 3 laptops under $1000,"<API>KlarnaProducts.productsUsingGET({'q': 'laptop', 'size': 3, 'max_price': 1000})</API>",
https://nla.zapier.com,Preview a Zap that sends an email when a new lead is added to my CRM,"<API>Zapier.preview_a_zap({""description_of_zap"": ""sends an email when a new lead is added to my CRM""})</API>",
https://server.shop.app,I'm looking for a pair of running shoes under $150.,"<API>Shop.search({'query': 'running shoes', 'price_max': 150})</API>",
https://joinmilo.com,What's a magic moment I can create with my family today?,<API>Milo.askMilo({'query': 'magic moment for family today'})</API>,
https://api.getguru.com,Find information about employee benefits in our company wiki,"<API>guru.get_querySearch({'searchTerms': 'employee benefits', 'maxResults': 5})</API>",
https://biztoc.com,Find me the latest news about Tesla.,<API>biztoc.getNews({'query': 'Tesla'})</API>,
https://chat-calculator-plugin.supportmirage.repl.co,Calculate the square root of 81,<API>calculator.sqrt({'a': 81})</API>,
https://datasette.io,What is the total number of rows in the 'employees' table?,"<API>datasette_datasette_io_3c330f.query({'sql': 'SELECT COUNT(*) FROM employees', '_shape': 'array'})</API>",
https://greenyroad.com,Please parse the content of these two URLs: https://example.com/article1 and https://example.com/article2,"<API>url_reader.parseURLs({'urls': 'https://example.com/article1,https://example.com/article2'})</API>",
https://domainsg.pt,Check the availability of the domain 'examplestore.com' and compare prices for the '.com' TLD across registrars.,"<API>owd.domainCheckUsingPOST({'domains': ['examplestore.com'], 'registrar': 'all'})</API><API>owd.domainCompareUsingGET({'tld': 'com'})</API>",
https://quickchart.io,,,"{""user_msg"": ""Generate a QR code for the website https://www.example.com"", ""api_call"": ""<API>quickchart.qrCode({""text"": ""https://www.example.com"", ""size"": 200})</API>""}"
https://urlbox.io,Take a screenshot of the website https://example.com in PNG format with a width of 1024 and a height of 768.,"<API>screenshot.renderSync({'format': 'png', 'url': 'https://example.com', 'width': 1024, 'height': 768})</API>",
https://portfoliopilot.com,What are the top 3 ETFs with a focus on technology and a low expense ratio?,"<API>portfoliopilot.getTopETFs({'philosophy': 'technology', 'is_diversified': false, 'max_expense_ratio': 0.1})</API>",
https://api.triplewhale.com,"What are the average benchmarks for Facebook ads in the electronics category with a high ad spend and high average order value between January 1, 2021, and December 31, 2021?","<API>triple_whale_benchmarks.bi-avg-get({'dailyagg': False, 'platforms': 'Facebook', 'category': 'Electronics', 'aov_segment': 'High', 'spend_segment': 'High', 'start': '2021-01-01', 'end': '2021-12-31'})</API>",
https://api.tasty.co,Find me a delicious pasta recipe.,<API>recipe_retrieval.food_query({'queries': ['delicious pasta']})</API>,
